Sentence ID,Sentences
file-katl_e_bayan-1507111042__10.22,आज दुर्व्यवहार कोई फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.23,आज दुर्व्यवहार कोई दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.24,फिर आज दफ्तर में कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.25,फिर आज दफ्तर में दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.26,फिर आज कोई दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.27,फिर आज कोई दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.28,फिर आज दुर्व्यवहार दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.29,फिर आज दुर्व्यवहार कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.30,फिर दफ्तर में आज कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.31,फिर दफ्तर में आज दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.32,फिर दफ्तर में कोई आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.33,फिर दफ्तर में कोई दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.34,फिर दफ्तर में दुर्व्यवहार आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.35,फिर दफ्तर में दुर्व्यवहार कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.36,फिर कोई आज दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.37,फिर कोई आज दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.38,फिर कोई दफ्तर में आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.39,फिर कोई दफ्तर में दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.40,फिर कोई दुर्व्यवहार आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.41,फिर कोई दुर्व्यवहार दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.42,फिर दुर्व्यवहार आज दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.43,फिर दुर्व्यवहार आज कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.44,फिर दुर्व्यवहार दफ्तर में आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.45,फिर दुर्व्यवहार दफ्तर में कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.46,फिर दुर्व्यवहार कोई आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.47,फिर दुर्व्यवहार कोई दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.48,दफ्तर में आज फिर कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.49,दफ्तर में आज फिर दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.50,दफ्तर में आज कोई फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.51,दफ्तर में आज कोई दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.52,दफ्तर में आज दुर्व्यवहार फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.53,दफ्तर में आज दुर्व्यवहार कोई फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.54,दफ्तर में फिर आज कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.55,दफ्तर में फिर आज दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.56,दफ्तर में फिर कोई आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.57,दफ्तर में फिर कोई दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.58,दफ्तर में फिर दुर्व्यवहार आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.59,दफ्तर में फिर दुर्व्यवहार कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.60,दफ्तर में कोई आज फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.61,दफ्तर में कोई आज दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.62,दफ्तर में कोई फिर आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.63,दफ्तर में कोई फिर दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.64,दफ्तर में कोई दुर्व्यवहार आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.65,दफ्तर में कोई दुर्व्यवहार फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.66,दफ्तर में दुर्व्यवहार आज फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.67,दफ्तर में दुर्व्यवहार आज कोई फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.68,दफ्तर में दुर्व्यवहार फिर आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.69,दफ्तर में दुर्व्यवहार फिर कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.70,दफ्तर में दुर्व्यवहार कोई आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.71,दफ्तर में दुर्व्यवहार कोई फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.72,कोई आज फिर दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.73,कोई आज फिर दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.74,कोई आज दफ्तर में फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.75,कोई आज दफ्तर में दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.76,कोई आज दुर्व्यवहार फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.77,कोई आज दुर्व्यवहार दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.78,कोई फिर आज दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.79,कोई फिर आज दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.80,कोई फिर दफ्तर में आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.81,कोई फिर दफ्तर में दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.82,कोई फिर दुर्व्यवहार आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.83,कोई फिर दुर्व्यवहार दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.84,कोई दफ्तर में आज फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.85,कोई दफ्तर में आज दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.86,कोई दफ्तर में फिर आज दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.87,कोई दफ्तर में फिर दुर्व्यवहार आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.88,कोई दफ्तर में दुर्व्यवहार आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.89,कोई दफ्तर में दुर्व्यवहार फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.90,कोई दुर्व्यवहार आज फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.91,कोई दुर्व्यवहार आज दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.92,कोई दुर्व्यवहार फिर आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.93,कोई दुर्व्यवहार फिर दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.94,कोई दुर्व्यवहार दफ्तर में आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.95,कोई दुर्व्यवहार दफ्तर में फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.96,दुर्व्यवहार आज फिर दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.97,दुर्व्यवहार आज फिर कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.98,दुर्व्यवहार आज दफ्तर में फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.99,दुर्व्यवहार आज दफ्तर में कोई फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.100,दुर्व्यवहार आज कोई फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.101,दुर्व्यवहार आज कोई दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.102,दुर्व्यवहार फिर आज दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.103,दुर्व्यवहार फिर आज कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.104,दुर्व्यवहार फिर दफ्तर में आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.105,दुर्व्यवहार फिर दफ्तर में कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.106,दुर्व्यवहार फिर कोई आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.107,दुर्व्यवहार फिर कोई दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.108,दुर्व्यवहार दफ्तर में आज फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.109,दुर्व्यवहार दफ्तर में आज कोई फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.110,दुर्व्यवहार दफ्तर में फिर आज कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.111,दुर्व्यवहार दफ्तर में फिर कोई आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.112,दुर्व्यवहार दफ्तर में कोई आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.113,दुर्व्यवहार दफ्तर में कोई फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.114,दुर्व्यवहार कोई आज फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.115,दुर्व्यवहार कोई आज दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.116,दुर्व्यवहार कोई फिर आज दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.117,दुर्व्यवहार कोई फिर दफ्तर में आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.118,दुर्व्यवहार कोई दफ्तर में आज फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.119,दुर्व्यवहार कोई दफ्तर में फिर आज कर दिया क्या ? 
file-katl_e_bayan-1507111042__11.0,देखो दफ्तर की बात घर मत लेकर आया करो । 
file-katl_e_bayan-1507111042__11.1,देखो दफ्तर की मत लेकर घर बात आया करो । 
file-katl_e_bayan-1507111042__11.2,बात दफ्तर की देखो घर मत लेकर आया करो । 
file-katl_e_bayan-1507111042__11.3,बात दफ्तर की मत लेकर घर देखो आया करो । 
file-katl_e_bayan-1507111042__11.4,मत लेकर दफ्तर की देखो घर बात आया करो । 
file-katl_e_bayan-1507111042__11.5,मत लेकर दफ्तर की बात घर देखो आया करो । 
file-katl_e_bayan-1507111042__12.0,जानती हूं छोटा ओहदेदार अगर अधिक योग्य होता है तो चारों ओर से भूकम्प का सामना करना पड़ता है । 
file-katl_e_bayan-1507111042__12.1,जानती हूं छोटा ओहदेदार अगर अधिक योग्य होता है तो सामना भूकम्प का चारों ओर से करना पड़ता है । 
file-katl_e_bayan-1507111042__12.2,जानती हूं छोटा ओहदेदार चारों ओर से अधिक योग्य होता है तो अगर भूकम्प का सामना करना पड़ता है । 
file-katl_e_bayan-1507111042__12.3,जानती हूं छोटा ओहदेदार चारों ओर से अधिक योग्य होता है तो सामना भूकम्प का अगर करना पड़ता है । 
file-katl_e_bayan-1507111042__12.4,जानती हूं छोटा ओहदेदार सामना अधिक योग्य होता है तो अगर भूकम्प का चारों ओर से करना पड़ता है । 
file-katl_e_bayan-1507111042__12.5,जानती हूं छोटा ओहदेदार सामना अधिक योग्य होता है तो चारों ओर से भूकम्प का अगर करना पड़ता है । 
file-katl_e_bayan-1507111042__14.0,मैं तुलसी अदरक डाल कर चाय बनाती हूं । 
file-katl_e_bayan-1507111042__14.1,मैं तुलसी अदरक चाय डाल कर बनाती हूं । 
file-katl_e_bayan-1507111042__14.2,डाल कर तुलसी अदरक मैं चाय बनाती हूं । 
file-katl_e_bayan-1507111042__14.3,डाल कर तुलसी अदरक चाय मैं बनाती हूं । 
file-katl_e_bayan-1507111042__14.4,चाय तुलसी अदरक मैं डाल कर बनाती हूं । 
file-katl_e_bayan-1507111042__14.5,चाय तुलसी अदरक डाल कर मैं बनाती हूं । 
file-katl_e_bayan-1507111042__16.0,कुछ देर के लिये अकेला छोड़ दो । 
file-katl_e_bayan-1507111042__16.1,अकेला कुछ देर के लिये छोड़ दो । 
file-katl_e_bayan-1507111042__17.0,मैं क्या - क्या कत्ले - बयां करूंगा ? 
file-katl_e_bayan-1507111042__17.1,मैं कत्ले - बयां क्या - क्या करूंगा ? 
file-katl_e_bayan-1507111042__17.2,क्या - क्या मैं कत्ले - बयां करूंगा ? 
file-katl_e_bayan-1507111042__17.3,क्या - क्या कत्ले - बयां मैं करूंगा ? 
file-katl_e_bayan-1507111042__17.4,कत्ले - बयां मैं क्या - क्या करूंगा ? 
file-katl_e_bayan-1507111042__17.5,कत्ले - बयां क्या - क्या मैं करूंगा ? 
file-katl_e_bayan-1507111042__21.0,भवानीनन्दन - बाप रे बाप क्या किस्मत हो गयी है । 
file-katl_e_bayan-1507111042__21.1,भवानीनन्दन - क्या किस्मत बाप रे बाप हो गयी है । 
file-katl_e_bayan-1507111042__22.0,उधर दफ्तर वाले दिन भर कोसते रहते हैं । 
file-katl_e_bayan-1507111042__22.1,उधर दिन भर दफ्तर वाले कोसते रहते हैं । 
file-katl_e_bayan-1507111042__22.2,दफ्तर वाले उधर दिन भर कोसते रहते हैं । 
file-katl_e_bayan-1507111042__22.3,दफ्तर वाले दिन भर उधर कोसते रहते हैं । 
file-katl_e_bayan-1507111042__22.4,दिन भर उधर दफ्तर वाले कोसते रहते हैं । 
file-katl_e_bayan-1507111042__22.5,दिन भर दफ्तर वाले उधर कोसते रहते हैं । 
file-katl_e_bayan-1507111042__23.0,घर में बीबी का हुक्म । 
file-katl_e_bayan-1507111042__23.1,हुक्म बीबी का घर में । 
file-katl_e_bayan-1507111042__24.0,पुष्पा - अरे अब तो उठाओ । 
file-katl_e_bayan-1507111042__24.1,पुष्पा - अब तो अरे उठाओ । 
file-katl_e_bayan-1507111042__29.0,हां सपनों की बारात पर डाका जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.1,हां सपनों की बारात पर जरूर डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.2,हां सपनों की डाका बारात पर जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.3,हां सपनों की डाका जरूर बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.4,हां सपनों की जरूर बारात पर डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.5,हां सपनों की जरूर डाका बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.6,बारात पर सपनों की हां डाका जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.7,बारात पर सपनों की हां जरूर डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.8,बारात पर सपनों की डाका हां जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.9,बारात पर सपनों की डाका जरूर हां पड़ जाता है । 
file-katl_e_bayan-1507111042__29.10,बारात पर सपनों की जरूर हां डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.11,बारात पर सपनों की जरूर डाका हां पड़ जाता है । 
file-katl_e_bayan-1507111042__29.12,डाका सपनों की हां बारात पर जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.13,डाका सपनों की हां जरूर बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.14,डाका सपनों की बारात पर हां जरूर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.15,डाका सपनों की बारात पर जरूर हां पड़ जाता है । 
file-katl_e_bayan-1507111042__29.16,डाका सपनों की जरूर हां बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.17,डाका सपनों की जरूर बारात पर हां पड़ जाता है । 
file-katl_e_bayan-1507111042__29.18,जरूर सपनों की हां बारात पर डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.19,जरूर सपनों की हां डाका बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.20,जरूर सपनों की बारात पर हां डाका पड़ जाता है । 
file-katl_e_bayan-1507111042__29.21,जरूर सपनों की बारात पर डाका हां पड़ जाता है । 
file-katl_e_bayan-1507111042__29.22,जरूर सपनों की डाका हां बारात पर पड़ जाता है । 
file-katl_e_bayan-1507111042__29.23,जरूर सपनों की डाका बारात पर हां पड़ जाता है । 
file-katl_e_bayan-1507111042__32.0,दानवीर - मतलब कत्ल - ए - बयां । 
file-katl_e_bayan-1507111042__32.1,दानवीर - कत्ल - ए - बयां मतलब । 
file-katl_e_bayan-1507111042__33.0,भईया रविवार को मिलता हूं । 
file-katl_e_bayan-1507111042__33.1,रविवार को भईया मिलता हूं । 
file-katl_e_bayan-1507111042__37.0,यहां तो मझधार में नैया डुबोने वाले बहुत हैं । 
file-katl_e_bayan-1507111042__37.1,यहां तो मझधार में नैया बहुत डुबोने वाले हैं । 
file-katl_e_bayan-1507111042__37.2,डुबोने वाले मझधार में नैया यहां तो बहुत हैं । 
file-katl_e_bayan-1507111042__37.3,डुबोने वाले मझधार में नैया बहुत यहां तो हैं । 
file-katl_e_bayan-1507111042__37.4,बहुत मझधार में नैया यहां तो डुबोने वाले हैं । 
file-katl_e_bayan-1507111042__37.5,बहुत मझधार में नैया डुबोने वाले यहां तो हैं । 
file-katl_e_bayan-1507111042__38.0,अपनों के सामने मन कत्ल - ए - बयां में कोई बुराई नहीं । 
file-katl_e_bayan-1507111042__38.1,अपनों के सामने मन कत्ल - ए - बयां में नहीं कोई बुराई । 
file-katl_e_bayan-1507111042__38.2,अपनों के सामने कोई बुराई मन कत्ल - ए - बयां में नहीं । 
file-katl_e_bayan-1507111042__38.3,अपनों के सामने कोई बुराई नहीं मन कत्ल - ए - बयां में । 
file-katl_e_bayan-1507111042__38.6,मन कत्ल - ए - बयां में अपनों के सामने कोई बुराई नहीं । 
file-katl_e_bayan-1507111042__38.9,मन कत्ल - ए - बयां में कोई बुराई नहीं अपनों के सामने । 
file-katl_e_bayan-1507111042__38.10,मन कत्ल - ए - बयां में नहीं अपनों के सामने कोई बुराई । 
file-katl_e_bayan-1507111042__38.11,मन कत्ल - ए - बयां में नहीं कोई बुराई अपनों के सामने । 
file-katl_e_bayan-1507111042__38.12,कोई बुराई अपनों के सामने मन कत्ल - ए - बयां में नहीं । 
file-katl_e_bayan-1507111042__38.15,कोई बुराई मन कत्ल - ए - बयां में नहीं अपनों के सामने । 
file-katl_e_bayan-1507111042__38.16,कोई बुराई नहीं अपनों के सामने मन कत्ल - ए - बयां में । 
file-katl_e_bayan-1507111042__38.17,कोई बुराई नहीं मन कत्ल - ए - बयां में अपनों के सामने । 
file-katl_e_bayan-1507111042__38.18,नहीं अपनों के सामने मन कत्ल - ए - बयां में कोई बुराई । 
file-katl_e_bayan-1507111042__38.19,नहीं अपनों के सामने कोई बुराई मन कत्ल - ए - बयां में । 
file-katl_e_bayan-1507111042__38.20,नहीं मन कत्ल - ए - बयां में अपनों के सामने कोई बुराई । 
file-katl_e_bayan-1507111042__38.21,नहीं मन कत्ल - ए - बयां में कोई बुराई अपनों के सामने । 
file-katl_e_bayan-1507111042__38.22,नहीं कोई बुराई अपनों के सामने मन कत्ल - ए - बयां में । 
file-katl_e_bayan-1507111042__38.23,नहीं कोई बुराई मन कत्ल - ए - बयां में अपनों के सामने । 
file-katl_e_bayan-1507111042__39.0,रविवार के दिन दानवीर जल्दी आ धमके । 
file-katl_e_bayan-1507111042__39.1,रविवार के दिन जल्दी दानवीर आ धमके । 
file-katl_e_bayan-1507111042__39.2,रविवार के दानवीर दिन जल्दी आ धमके । 
file-katl_e_bayan-1507111042__39.3,रविवार के दानवीर जल्दी दिन आ धमके । 
file-katl_e_bayan-1507111042__39.4,रविवार के जल्दी दिन दानवीर आ धमके । 
file-katl_e_bayan-1507111042__39.5,रविवार के जल्दी दानवीर दिन आ धमके । 
file-katl_e_bayan-1507111042__40.0,पुष्पा ने बढ़िया चाय नाश्ते का इन्तजाम किया । 
file-katl_e_bayan-1507111042__40.1,इन्तजाम बढ़िया चाय नाश्ते का पुष्पा ने किया । 
file-katl_e_bayan-1507111042__41.0,चाय की चुस्की लेते हुए दानवीर बोले भाई साहब आप किस कत्ल की बात कर रहे थे फोन पर । 
file-katl_e_bayan-1507111042__41.1,चाय की चुस्की लेते हुए दानवीर बोले भाई साहब बात किस कत्ल की आप कर रहे थे फोन पर । 
file-katl_e_bayan-1507111042__41.2,चाय की चुस्की लेते हुए दानवीर बोले आप भाई साहब किस कत्ल की बात कर रहे थे फोन पर । 
file-katl_e_bayan-1507111042__41.3,चाय की चुस्की लेते हुए दानवीर बोले आप बात किस कत्ल की भाई साहब कर रहे थे फोन पर । 
file-katl_e_bayan-1507111042__41.4,चाय की चुस्की लेते हुए दानवीर बोले बात भाई साहब किस कत्ल की आप कर रहे थे फोन पर । 
file-katl_e_bayan-1507111042__41.5,चाय की चुस्की लेते हुए दानवीर बोले बात आप किस कत्ल की भाई साहब कर रहे थे फोन पर । 
