Technique,Model,Accuracy,Precision,Recall,F1-Score
Instance Hardness,Easy Ensemble,0.2272382397572079,0.12843642611683848,0.9739413680781759,0.2269449715370019
Instance Hardness,Balanced Bagging,0.21927162367223066,0.12728820774797786,0.9739413680781759,0.22515060240963855
SMOTE,Logistic Regression,0.8930197268588771,0.9032258064516129,0.09120521172638436,0.16568047337278108
SMOTE,Cost-Sensitive LR,0.18057663125948406,0.12199102407180742,0.9739413680781759,0.21682378535170413
SMOTE,SVM,0.9180576631259484,0.7973856209150327,0.3973941368078176,0.5304347826086957
SMOTE,Cost-Sensitive SVM,0.34559939301972686,0.13826530612244897,0.8827361563517915,0.23908248786943095
SMOTE,Decision Tree,0.8968133535660091,0.5720164609053497,0.4527687296416938,0.5054545454545455
SMOTE,Cost-Sensitive DT,0.424886191198786,0.1515850144092219,0.8566775244299675,0.257590597453477
SMOTE,XGBoost,0.9150227617602428,0.7344632768361582,0.4234527687296417,0.5371900826446281
SMOTE,AdaBoost,0.8945371775417299,0.5527272727272727,0.495114006514658,0.5223367697594502
SMOTE,Calibrated LR,0.8907435508345979,1.0,0.06188925081433225,0.1165644171779141
SMOTE,RUSBoost,0.9081942336874052,1.0,0.21172638436482086,0.34946236559139787
SMOTE,Easy Ensemble,0.6627465857359636,0.22495274102079396,0.7752442996742671,0.3487179487179487
SMOTE,Balanced Bagging,0.7223065250379362,0.23135271807838179,0.5960912052117264,0.3333333333333333
BorderlineSMOTE,Logistic Regression,0.8812594840667678,0.4727272727272727,0.16938110749185667,0.24940047961630696
BorderlineSMOTE,Cost-Sensitive LR,0.2116843702579666,0.12431056427662282,0.9543973941368078,0.21996996996996998
BorderlineSMOTE,SVM,0.8941578148710166,0.5466666666666666,0.5342019543973942,0.5403624382207578
BorderlineSMOTE,Cost-Sensitive SVM,0.3581183611532625,0.13988559542381696,0.8762214983713354,0.24125560538116592
BorderlineSMOTE,Decision Tree,0.8182852807283764,0.33587786259541985,0.5732899022801303,0.42358604091456076
BorderlineSMOTE,Cost-Sensitive DT,0.45182094081942337,0.15473300970873785,0.8306188925081434,0.2608695652173913
BorderlineSMOTE,XGBoost,0.8994688922610015,0.5826771653543307,0.4820846905537459,0.5276292335115864
BorderlineSMOTE,AdaBoost,0.8952959028831563,0.5504885993485342,0.5504885993485342,0.5504885993485342
BorderlineSMOTE,Calibrated LR,0.8846737481031867,0.5333333333333333,0.0781758957654723,0.13636363636363635
BorderlineSMOTE,RUSBoost,0.9081942336874052,1.0,0.21172638436482086,0.34946236559139787
BorderlineSMOTE,Easy Ensemble,0.68247344461305,0.2360557768924303,0.7719869706840391,0.36155606407322655
BorderlineSMOTE,Balanced Bagging,0.7458270106221547,0.252387448840382,0.6026058631921825,0.3557692307692308
SVMSMOTE,Logistic Regression,0.8896054628224582,0.5888888888888889,0.17263843648208468,0.26700251889168763
SVMSMOTE,Cost-Sensitive LR,0.20561456752655538,0.123472397808681,0.9543973941368078,0.21865671641791046
SVMSMOTE,SVM,0.915402124430956,0.7210526315789474,0.44625407166123776,0.5513078470824949
SVMSMOTE,Cost-Sensitive SVM,0.4677541729893778,0.16131025957972805,0.8501628664495114,0.27116883116883117
SVMSMOTE,Decision Tree,0.8945371775417299,0.555984555984556,0.46905537459283386,0.508833922261484
SVMSMOTE,Cost-Sensitive DT,0.5967374810318664,0.1865671641791045,0.7328990228013029,0.29742233972240584
SVMSMOTE,XGBoost,0.9089529590288316,0.6634146341463415,0.44299674267100975,0.53125
SVMSMOTE,AdaBoost,0.8983308042488619,0.5698924731182796,0.5179153094462541,0.5426621160409556
SVMSMOTE,Calibrated LR,0.8903641881638846,0.625,0.1465798045602606,0.23746701846965698
SVMSMOTE,RUSBoost,0.7962822458270106,0.26239669421487605,0.41368078175895767,0.3211125158027813
SVMSMOTE,Easy Ensemble,0.8281487101669196,0.36823104693140796,0.6644951140065146,0.4738675958188153
SVMSMOTE,Balanced Bagging,0.789453717754173,0.2953795379537954,0.5830618892508144,0.39211391018619934
ADASYN,Logistic Regression,0.8918816388467374,0.9230769230769231,0.0781758957654723,0.14414414414414414
ADASYN,Cost-Sensitive LR,0.1274658573596358,0.1159922928709056,0.9804560260586319,0.2074431426602343
ADASYN,SVM,0.9161608497723824,0.7362637362637363,0.4364820846905538,0.5480572597137015
ADASYN,Cost-Sensitive SVM,0.27959028831562976,0.13419117647058823,0.9511400651465798,0.2351993556182038
ADASYN,Decision Tree,0.8645675265553869,0.42038216560509556,0.42996742671009774,0.4251207729468599
ADASYN,Cost-Sensitive DT,0.3292867981790592,0.1345672836418209,0.8762214983713354,0.23330442324371206
ADASYN,XGBoost,0.9138846737481032,0.7150537634408602,0.43322475570032576,0.539553752535497
ADASYN,AdaBoost,0.9028831562974203,0.5962264150943396,0.5146579804560261,0.5524475524475524
ADASYN,Calibrated LR,0.883535660091047,0.0,0.0,0.0
ADASYN,RUSBoost,0.6323975720789075,0.1811175337186898,0.6123778501628665,0.2795539033457249
ADASYN,Easy Ensemble,0.6536418816388467,0.2230347349177331,0.7947882736156352,0.3483226266952177
ADASYN,Balanced Bagging,0.7261001517450683,0.23294723294723294,0.5895765472312704,0.3339483394833948
SMOTE+Tomek,Logistic Regression,0.5227617602427921,0.15962777380100215,0.7263843648208469,0.26173708920187794
SMOTE+Tomek,Cost-Sensitive LR,0.11646433990895295,0.11646433990895295,1.0,0.2086306489976215
SMOTE+Tomek,SVM,0.7431714719271624,0.27602905569007263,0.742671009771987,0.4024713150926743
SMOTE+Tomek,Cost-Sensitive SVM,0.11987860394537178,0.11657142857142858,0.996742671009772,0.208731241473397
SMOTE+Tomek,Decision Tree,0.6820940819423369,0.21904761904761905,0.6742671009771987,0.3306709265175719
SMOTE+Tomek,Cost-Sensitive DT,0.20182094081942337,0.12295425933697021,0.9543973941368078,0.2178438661710037
SMOTE+Tomek,XGBoost,0.834597875569044,0.36809815950920244,0.5863192182410424,0.45226130653266333
SMOTE+Tomek,AdaBoost,0.7302731411229135,0.26009501187648454,0.7133550488599348,0.381201044386423
SMOTE+Tomek,Calibrated LR,0.5280728376327769,0.16124367317425886,0.7263843648208469,0.263905325443787
SMOTE+Tomek,RUSBoost,0.6813353566009105,0.23535253227408143,0.7719869706840391,0.3607305936073059
SMOTE+Tomek,Easy Ensemble,0.6813353566009105,0.23535253227408143,0.7719869706840391,0.3607305936073059
SMOTE+Tomek,Balanced Bagging,0.7166160849772383,0.20899470899470898,0.5146579804560261,0.29727187206020694
SMOTE+ENN,Logistic Regression,0.4324734446130501,0.14422501496110113,0.7850162866449512,0.243680485338726
SMOTE+ENN,Cost-Sensitive LR,0.11646433990895295,0.11617312072892938,0.996742671009772,0.20809248554913296
SMOTE+ENN,SVM,0.706752655538695,0.24946236559139784,0.755700325732899,0.37510105092966856
SMOTE+ENN,Cost-Sensitive SVM,0.22458270106221548,0.1274131274131274,0.9674267100977199,0.22517058377558757
SMOTE+ENN,Decision Tree,0.6096358118361154,0.19039451114922812,0.7231270358306189,0.3014256619144603
SMOTE+ENN,Cost-Sensitive DT,0.27807283763277696,0.13055555555555556,0.9185667752442996,0.22861775435751924
SMOTE+ENN,XGBoost,0.7549317147192717,0.2784313725490196,0.6938110749185668,0.39738805970149255
SMOTE+ENN,AdaBoost,0.6680576631259484,0.2204724409448819,0.7296416938110749,0.3386243386243386
SMOTE+ENN,Calibrated LR,0.44157814871016693,0.1458966565349544,0.7817589576547231,0.2459016393442623
SMOTE+ENN,RUSBoost,0.6532625189681336,0.2228310502283105,0.7947882736156352,0.34807417974322397
SMOTE+ENN,Easy Ensemble,0.6676783004552352,0.22775119617224882,0.7752442996742671,0.3520710059171598
SMOTE+ENN,Balanced Bagging,0.6358118361153262,0.19110690633869443,0.6579804560260586,0.2961876832844575
