Technique,Model,AUC-ROC,PR-AUC,F1-Score,Precision,Recall,Accuracy
NearMiss-1,RUSBoost,0.5087708001919047,0.260267719916283,0.1635593220338983,0.09400876765708718,0.6286644951140065,0.31624523727052306
NearMiss-1,Easy Ensemble,0.4803884806706563,0.24790576922974542,0.1603411513859275,0.09224730127576054,0.6123778501628665,0.3179771388985106
NearMiss-1,Balanced Bagging,0.47612996490164883,0.10464322275492133,0.17633928571428573,0.0995380092398152,0.7719869706840391,0.23311395912712157
NearMiss-2,Logistic Regression,0.6650367396409362,0.2524437013815733,0.18157894736842106,0.10098792535675083,0.8990228013029316,0.13820574991340492
NearMiss-2,Cost-Sensitive LR,0.6487639825265762,0.23691009043828481,0.19008264462809918,0.10531877421627334,0.9739413680781759,0.11742293037755455
NearMiss-2,SVM,0.6353401257480493,0.17571769524395275,0.19188921859545005,0.10674981658107116,0.9478827361563518,0.15102182196051264
NearMiss-2,Cost-Sensitive SVM,0.6064641567558013,0.14740880689163427,0.18925831202046037,0.10492733073378235,0.9641693811074918,0.12157949428472463
NearMiss-2,Decision Tree,0.4959005630886548,0.10555208667375159,0.19023136246786632,0.1055258467023173,0.9641693811074918,0.12712157949428474
NearMiss-2,Cost-Sensitive DT,0.502683508825089,0.10686073993387707,0.19265463917525774,0.10690025026814444,0.9739413680781759,0.1319709040526498
NearMiss-2,XGBoost,0.6100049238694039,0.19404196479520472,0.19148936170212766,0.10626118067978534,0.9674267100977199,0.1312781434014548
NearMiss-2,AdaBoost,0.5277750422947757,0.16482445256089914,0.19174520636984074,0.10649819494584838,0.9609120521172638,0.13855213023900242
NearMiss-2,Calibrated LR,0.6606443956265939,0.2469452262053802,0.1825944170771757,0.10153396639883126,0.9055374592833876,0.13785936958780742
NearMiss-2,RUSBoost,0.608710198722319,0.3611360091448489,0.18885245901639344,0.10499453153481589,0.9381107491856677,0.14305507447177002
NearMiss-2,Easy Ensemble,0.5847663055829107,0.33257549044920415,0.1871306631648063,0.10405257393209201,0.9283387622149837,0.142362313820575
NearMiss-2,Balanced Bagging,0.5070266141453931,0.10779950675966352,0.19013857557202707,0.10550786838340487,0.9609120521172638,0.12954624177346727
Tomek Links,Logistic Regression,0.6598995025629372,0.42742965088023027,0.10493827160493827,1.0,0.05537459283387622,0.8995497055767232
Tomek Links,Cost-Sensitive LR,0.656163674469106,0.33562938222150546,0.31521739130434784,0.2365415986949429,0.4723127035830619,0.7817803948735712
Tomek Links,SVM,0.7025679872736914,0.4880501638672001,0.44556962025316454,1.0,0.28664495114006516,0.9241427086941462
Tomek Links,Cost-Sensitive SVM,0.7867825669772492,0.5090913124659793,0.5268630849220104,0.562962962962963,0.495114006514658,0.9054381711118809
Tomek Links,Decision Tree,0.7184159028356437,0.426690471829432,0.4745011086474501,0.7430555555555556,0.3485342019543974,0.9179078628333911
Tomek Links,Cost-Sensitive DT,0.6908567532762669,0.45945635186614353,0.3458646616541353,0.25801282051282054,0.5244299674267101,0.7890543817111189
Tomek Links,XGBoost,0.7738207964043129,0.5431257485218399,0.4682713347921225,0.7133333333333334,0.3485342019543974,0.915829580879806
Tomek Links,AdaBoost,0.7740385829356362,0.5544849774520518,0.4891041162227603,0.9528301886792453,0.3289902280130293,0.9269137512989262
Tomek Links,Calibrated LR,0.6608552382395273,0.42885735027915295,0.07523510971786834,1.0,0.03908794788273615,0.8978178039487357
Tomek Links,RUSBoost,0.5863192182410424,0.2606190391838512,0.29444444444444445,1.0,0.17263843648208468,0.9120193972982334
Tomek Links,Easy Ensemble,0.7898492538444056,0.5498025423902302,0.4417767106842737,0.34980988593155893,0.5993485342019544,0.8389331485971597
Tomek Links,Balanced Bagging,0.7428730146706058,0.5459391914030883,0.4375,0.35496957403651114,0.5700325732899023,0.8441288534811223
ENN,Logistic Regression,0.663743908289776,0.4008242581681155,0.11076923076923077,1.0,0.05863192182410423,0.8998960859023207
ENN,Cost-Sensitive LR,0.6684506224275938,0.31965546336124095,0.20384294068504594,0.1169142309535218,0.7947882736156352,0.33979909941115344
ENN,SVM,0.7103363381562002,0.5437390249824272,0.4807692307692308,0.9174311926605505,0.3257328990228013,0.9251818496709386
ENN,Cost-Sensitive SVM,0.7669867181779157,0.4454331609507272,0.3345507669831994,0.21563088512241055,0.745928338762215,0.6844475233806719
ENN,Decision Tree,0.7461473878241549,0.4515490994520165,0.5238095238095238,0.5480427046263345,0.501628664495114,0.9030135088326983
ENN,Cost-Sensitive DT,0.7195433426760598,0.4375519727777115,0.3072505384063173,0.19705340699815838,0.6970684039087948,0.6657429857984066
ENN,XGBoost,0.7716713380299474,0.552777393755786,0.5107212475633528,0.6359223300970874,0.42671009771986973,0.913058538275026
ENN,AdaBoost,0.7366702017523925,0.5473611244590714,0.5255198487712666,0.6261261261261262,0.4527687296416938,0.913058538275026
ENN,Calibrated LR,0.6642072570259828,0.40196635116138146,0.09316770186335403,1.0,0.048859934853420196,0.8988569449255283
ENN,RUSBoost,0.6647419387420145,0.17276413193727314,0.3211267605633803,0.22559366754617413,0.5570032573289903,0.7495670245930032
ENN,Easy Ensemble,0.7807325202636164,0.5495683664369395,0.40437158469945356,0.2806573957016435,0.7231270358306189,0.7734672670592311
ENN,Balanced Bagging,0.7364631467313082,0.4995144740131047,0.2911660777385159,0.18592057761732853,0.6710097719869706,0.6525805334257014
Instance Hardness,Logistic Regression,0.6760081306971695,0.28156384533110707,0.19019414281013491,0.10578330893118594,0.9413680781758957,0.14755801870453758
Instance Hardness,Cost-Sensitive LR,0.678813473726738,0.27311685054722135,0.18990155604953954,0.10520760028149191,0.9739413680781759,0.11638378940076204
Instance Hardness,SVM,0.6556479307123197,0.24636891241721165,0.1939799331103679,0.1080879612374208,0.9446254071661238,0.1652234153100104
Instance Hardness,Cost-Sensitive SVM,0.5606709087695376,0.12991909271387342,0.19035451932290004,0.10552407932011332,0.9706840390879479,0.12192587461032213
Instance Hardness,Decision Tree,0.4972735651339545,0.10582076534795148,0.1907514450867052,0.10580691129319558,0.9674267100977199,0.12712157949428474
Instance Hardness,Cost-Sensitive DT,0.49528760447440845,0.10544239675191422,0.1912376079309242,0.10602836879432624,0.9739413680781759,0.12400415656390718
Instance Hardness,XGBoost,0.6667177991566295,0.2375571162738645,0.1910293643110681,0.10601719197707736,0.9641693811074918,0.1316245237270523
Instance Hardness,AdaBoost,0.5780256546221245,0.2766639247629186,0.19035369774919614,0.10560114163396361,0.9641693811074918,0.12781434014547974
Instance Hardness,Calibrated LR,0.6744110294674647,0.2843059332194833,0.18988173455978974,0.10559006211180125,0.9413680781758957,0.14582611707655005
Instance Hardness,RUSBoost,0.5336060399464687,0.33548403381836095,0.19017025377449406,0.10548823948681398,0.9641693811074918,0.1267751991686872
Instance Hardness,Easy Ensemble,0.5773716637628463,0.3393008282227843,0.18958868894601544,0.1051693404634581,0.9609120521172638,0.1264288188430897
Instance Hardness,Balanced Bagging,0.5068618538999571,0.10774207908023041,0.1905988409529942,0.10575205430510896,0.9641693811074918,0.12919986144786977
SMOTE,Logistic Regression,0.663067191879403,0.33425888078259036,0.29743589743589743,0.20162224797219003,0.5667752442996743,0.71527537235885
SMOTE,Cost-Sensitive LR,0.6696752771254703,0.30135977251758067,0.19245283018867926,0.10650887573964497,0.996742671009772,0.11049532386560443
SMOTE,SVM,0.7972887155013509,0.5006648833049118,0.44970414201183434,0.35315985130111527,0.6188925081433225,0.8389331485971597
SMOTE,Cost-Sensitive SVM,0.6442630608792262,0.28875931242923897,0.19134253450439148,0.10586601874349184,0.993485342019544,0.10703152060962938
SMOTE,Decision Tree,0.7226056106860591,0.3995458126689934,0.39080459770114945,0.3019538188277087,0.5537459283387622,0.8164184274333218
SMOTE,Cost-Sensitive DT,0.7758541019619726,0.49789551992745285,0.19069166127989656,0.10584858270541801,0.9609120521172638,0.13266366470384483
SMOTE,XGBoost,0.7458879377824912,0.5396549520542082,0.47020933977455714,0.46496815286624205,0.4755700325732899,0.8860408728784205
SMOTE,AdaBoost,0.7571781178193571,0.5484642850894148,0.42907385697538103,0.33516483516483514,0.5960912052117264,0.8313127814340145
SMOTE,Calibrated LR,0.6606658586470722,0.33577479752978984,0.3064066852367688,0.21428571428571427,0.5374592833876222,0.7412538967786629
SMOTE,RUSBoost,0.7320430270434057,0.33312081495048873,0.37043966323666977,0.25984251968503935,0.6449511400651465,0.7668860408728784
SMOTE,Easy Ensemble,0.7734041613009115,0.4748895709617578,0.40808823529411764,0.28425096030729835,0.7231270358306189,0.7769310703152061
SMOTE,Balanced Bagging,0.6820802716965886,0.4482619043305145,0.31905781584582443,0.23763955342902712,0.48534201954397393,0.7797021129199861
SMOTE_balanced,Logistic Regression,0.6630368911446103,0.3261731025135749,0.22131147540983606,0.13130699088145897,0.7035830618892508,0.4735019050917908
SMOTE_balanced,Cost-Sensitive LR,0.6676855288740753,0.2976639063386015,0.19203012237213682,0.10625,0.996742671009772,0.1080706615864219
SMOTE_balanced,SVM,0.7879895462464965,0.4955855844557127,0.39848914069877245,0.28058510638297873,0.6872964169381107,0.7793557325943886
SMOTE_balanced,Cost-Sensitive SVM,0.6203216928010504,0.3073977019413588,0.19122257053291536,0.1057925771765522,0.993485342019544,0.10633875995843436
SMOTE_balanced,Decision Tree,0.7244110294674646,0.403723274715154,0.2939244663382594,0.1964873765093304,0.5830618892508144,0.7021129199861448
SMOTE_balanced,Cost-Sensitive DT,0.697584147665581,0.48878081300535137,0.18935683969964087,0.10522496371552975,0.9446254071661238,0.13993765154139245
SMOTE_balanced,XGBoost,0.7375028406938868,0.5236190878456213,0.38415366146458585,0.3041825095057034,0.5211726384364821,0.8223068929684794
SMOTE_balanced,AdaBoost,0.7743396964876399,0.5513731922554128,0.4043179587831207,0.2893258426966292,0.6710097719869706,0.7897471423623138
SMOTE_balanced,Calibrated LR,0.6594563543165921,0.3262382661535378,0.22645502645502646,0.1351863550221099,0.6970684039087948,0.4935919639764461
SMOTE_balanced,RUSBoost,0.7767277731484988,0.5108797328266171,0.40771349862258954,0.28388746803069054,0.7231270358306189,0.7765846899896086
SMOTE_balanced,Easy Ensemble,0.7931034265080927,0.4721593448960027,0.40771349862258954,0.28388746803069054,0.7231270358306189,0.7765846899896086
SMOTE_balanced,Balanced Bagging,0.6774884478448601,0.4423763467357407,0.3122994652406417,0.23248407643312102,0.4755700325732899,0.7772774506408036
BorderlineSMOTE,Logistic Regression,0.6711170870893619,0.28682496512109945,0.3148316651501365,0.21843434343434343,0.5635179153094463,0.739175614825078
BorderlineSMOTE,Cost-Sensitive LR,0.6677650683029063,0.2678172535300701,0.19023462270133165,0.1053740779768177,0.9771986970684039,0.11534464842396952
BorderlineSMOTE,SVM,0.7810734035300357,0.4557816154430884,0.37659033078880405,0.2545871559633027,0.7231270358306189,0.745410460685833
BorderlineSMOTE,Cost-Sensitive SVM,0.7100118677877938,0.34132254286573105,0.1984369690791709,0.11077389984825493,0.9511400651465798,0.1828888119154832
BorderlineSMOTE,Decision Tree,0.7307508269575538,0.38282065329235726,0.3365570599613153,0.2393397524071527,0.5667752442996743,0.7623830966401108
BorderlineSMOTE,Cost-Sensitive DT,0.6829659369239705,0.3703933675490267,0.19806576402321083,0.11237928007023705,0.8338762214983714,0.2819535850363699
BorderlineSMOTE,XGBoost,0.7424791051182991,0.5282638273411653,0.3890160183066362,0.2998236331569665,0.5537459283387622,0.8150329061309317
BorderlineSMOTE,AdaBoost,0.7453797692094033,0.5291882390726587,0.36657169990503324,0.2587131367292225,0.6286644951140065,0.7689643228264634
BorderlineSMOTE,Calibrated LR,0.6695603868393809,0.2818608245389767,0.31588785046728973,0.2214941022280472,0.5504885993485342,0.7464496016626255
BorderlineSMOTE,RUSBoost,0.6183527763048254,0.15199883743186213,0.28444444444444444,0.21585160202360876,0.4169381107491857,0.7769310703152061
BorderlineSMOTE,Easy Ensemble,0.7650518900083326,0.41878277792573415,0.4049586776859504,0.29652042360060515,0.6384364820846905,0.8004849324558365
BorderlineSMOTE,Balanced Bagging,0.6692801050425472,0.4113542885027348,0.32709113607990015,0.2651821862348178,0.42671009771986973,0.8133010045029442
SVMSMOTE,Logistic Regression,0.6754766053076786,0.3086843420978614,0.32761904761904764,0.23149394347240915,0.5602605863192183,0.7554554901281607
SVMSMOTE,Cost-Sensitive LR,0.6807678711208747,0.28183440267013005,0.19210110584518167,0.10636808957312806,0.990228013029316,0.114305507447177
SVMSMOTE,SVM,0.789681968537737,0.48311100200979246,0.45714285714285713,0.36947791164658633,0.5993485342019544,0.8486317977138899
SVMSMOTE,Cost-Sensitive SVM,0.739613160619145,0.34488859318854914,0.19730010384215993,0.11037955073586367,0.9283387622149837,0.19674402493938345
SVMSMOTE,Decision Tree,0.7446392950029039,0.481988508257858,0.4117647058823529,0.36117936117936117,0.4788273615635179,0.8545202632490475
SVMSMOTE,Cost-Sensitive DT,0.7217142640709039,0.46944935220550904,0.20212347620920174,0.11493738819320215,0.8371335504885994,0.2971943193626602
SVMSMOTE,XGBoost,0.7584488548847309,0.5566023457202306,0.5041736227045075,0.5171232876712328,0.49185667752442996,0.8971250432975407
SVMSMOTE,AdaBoost,0.7647949650279019,0.5592339023118431,0.45161290322580644,0.36472945891783565,0.5928338762214984,0.8468998960859023
SVMSMOTE,Calibrated LR,0.6757328990228013,0.30674000976162275,0.33908629441624366,0.24631268436578171,0.5439739413680782,0.7745064080360236
SVMSMOTE,RUSBoost,0.7171912481377674,0.2416899436846352,0.37824474660074164,0.3047808764940239,0.498371335504886,0.8257706962244544
SVMSMOTE,Easy Ensemble,0.7753162639193998,0.5245762016320437,0.4362336114421931,0.34398496240601506,0.5960912052117264,0.8361621059923796
SVMSMOTE,Balanced Bagging,0.7061156983056839,0.48729387293926674,0.43909774436090226,0.40782122905027934,0.4755700325732899,0.8708001385521302
ADASYN,Logistic Regression,0.6627616594702421,0.32012824195430895,0.2789992418498863,0.18181818181818182,0.5993485342019544,0.6705923103567717
ADASYN,Cost-Sensitive LR,0.6634850895134208,0.28792560090319635,0.19259723964868256,0.1065602221450885,1.0,0.1084170419120194
ADASYN,SVM,0.7684247405499582,0.46722011658260504,0.3316582914572864,0.212707182320442,0.752442996742671,0.6775199168687218
ADASYN,Cost-Sensitive SVM,0.5949827033305557,0.27224867169676914,0.19122257053291536,0.1057925771765522,0.993485342019544,0.10633875995843436
ADASYN,Decision Tree,0.6767296669444234,0.36558758062814445,0.20972972972972972,0.12572909915748542,0.6319218241042345,0.4935919639764461
ADASYN,Cost-Sensitive DT,0.5994621619574274,0.24812962916163514,0.1903772931810315,0.10650658404337723,0.8957654723127035,0.18981641842743333
ADASYN,XGBoost,0.7209750523950206,0.5053455104239257,0.37812128418549346,0.29775280898876405,0.5179153094462541,0.8188430897125043
ADASYN,AdaBoost,0.7585738454157513,0.5462018714162875,0.4412094064949608,0.3361774744027304,0.6416938110749185,0.8271562175268444
ADASYN,Calibrated LR,0.6588629649268996,0.3389480708573538,0.30347349177330896,0.21092757306226176,0.5407166123778502,0.7360581918947003
ADASYN,RUSBoost,0.666523369441709,0.17524236615150007,0.32594021215043395,0.23150684931506849,0.5504885993485342,0.7578801524073433
ADASYN,Easy Ensemble,0.774082771507209,0.4032028616928196,0.4073394495412844,0.2835249042145594,0.7231270358306189,0.7762383096640111
ADASYN,Balanced Bagging,0.6384768830644143,0.36037964685067475,0.2828282828282828,0.20497803806734993,0.4560260586319218,0.7540699688257707
Random Oversampling,Logistic Regression,0.6661351412771759,0.3437426226639823,0.3125,0.21525215252152521,0.5700325732899023,0.7332871492899203
Random Oversampling,Cost-Sensitive LR,0.6765623816377547,0.30327244918765295,0.19172932330827067,0.10606585788561525,0.996742671009772,0.10633875995843436
Random Oversampling,SVM,0.7933300507537309,0.4965956139815769,0.43986254295532645,0.3392226148409894,0.6254071661237784,0.8306200207828195
Random Oversampling,Cost-Sensitive SVM,0.6159628058480418,0.26770987531780277,0.19140257295262003,0.10590277777777778,0.993485342019544,0.10737790093522688
Random Oversampling,Decision Tree,0.7512095043304801,0.4643006068091688,0.3483754512635379,0.24094881398252185,0.6286644951140065,0.7499134049186006
Random Oversampling,Cost-Sensitive DT,0.7588219326818674,0.527042949733938,0.20302375809935205,0.11412383650343991,0.9185667752442996,0.23311395912712157
Random Oversampling,XGBoost,0.7718480923162386,0.5614318645413336,0.429732868757259,0.33393501805054154,0.6026058631921825,0.8299272601316245
Random Oversampling,AdaBoost,0.7648290533545439,0.5616436848279139,0.4377880184331797,0.33868092691622104,0.6188925081433225,0.830966401108417
Random Oversampling,Calibrated LR,0.6628020604499659,0.34702614356075123,0.3190428713858425,0.22988505747126436,0.5211726384364821,0.7634222376169033
Random Oversampling,RUSBoost,0.7299838396081104,0.33045264712000555,0.36413540713632203,0.25318066157760816,0.6482084690553745,0.7592656737097333
Random Oversampling,Easy Ensemble,0.7955255914955938,0.5155607418502941,0.400359066427289,0.27633209417596033,0.7263843648208469,0.7686179425008659
Random Oversampling,Balanced Bagging,0.7157860515617503,0.483847205798968,0.3993808049535604,0.3805309734513274,0.4201954397394137,0.8656044336681676
SMOTE+Tomek,Logistic Regression,0.6630053278792011,0.32445076602532574,0.22245002562788313,0.13199513381995134,0.7068403908794788,0.4745410460685833
SMOTE+Tomek,Cost-Sensitive LR,0.6673900967098453,0.29665754004659045,0.1921507064364207,0.1063238359972203,0.996742671009772,0.1087634222376169
SMOTE+Tomek,SVM,0.7876019493472717,0.48945296489321233,0.3981042654028436,0.2807486631016043,0.6840390879478827,0.7800484932455837
SMOTE+Tomek,Cost-Sensitive SVM,0.6349260157058808,0.302971938384031,0.19122257053291536,0.1057925771765522,0.993485342019544,0.10633875995843436
SMOTE+Tomek,Decision Tree,0.709744211297124,0.3959809804789567,0.30416312659303313,0.2057471264367816,0.5830618892508144,0.7163145133356426
SMOTE+Tomek,Cost-Sensitive DT,0.6969951771330455,0.4831213149326868,0.19193233571893298,0.10661366100469823,0.9609120521172638,0.13959127121579495
SMOTE+Tomek,XGBoost,0.7419822993207585,0.5320561707263215,0.42777777777777776,0.3728813559322034,0.501628664495114,0.8572913058538275
SMOTE+Tomek,AdaBoost,0.7732356134636265,0.552607173332607,0.4184008762322015,0.31518151815181517,0.6221498371335505,0.8160720471077243
SMOTE+Tomek,Calibrated LR,0.6593578769285156,0.3244504590547904,0.2251585623678647,0.13438485804416403,0.6938110749185668,0.4922064426740561
SMOTE+Tomek,RUSBoost,0.7772296290685049,0.525892990466019,0.40771349862258954,0.28388746803069054,0.7231270358306189,0.7765846899896086
SMOTE+Tomek,Easy Ensemble,0.7931034265080927,0.4721593448960027,0.40771349862258954,0.28388746803069054,0.7231270358306189,0.7765846899896086
SMOTE+Tomek,Balanced Bagging,0.6786543948690755,0.44222742192093,0.3070624360286592,0.22388059701492538,0.48859934853420195,0.7655005195704884
SMOTE+ENN,Logistic Regression,0.6655859404590562,0.3086267645309756,0.2110912343470483,0.12234318299637117,0.7687296416938111,0.3889851056459993
SMOTE+ENN,Cost-Sensitive LR,0.6667664065853597,0.28827546154221595,0.19222257350616503,0.10644257703081232,0.990228013029316,0.114998268098372
SMOTE+ENN,SVM,0.7786405070322956,0.429189330083591,0.3722871452420701,0.250280583613917,0.7263843648208469,0.7395219951506754
SMOTE+ENN,Cost-Sensitive SVM,0.7089709112945988,0.3583179278454849,0.1992644600468071,0.11102831594634874,0.9706840390879479,0.17041912019397298
SMOTE+ENN,Decision Tree,0.7460211347625181,0.39616663089560666,0.3415032679738562,0.22791712104689205,0.6807817589576547,0.7208174575684101
SMOTE+ENN,Cost-Sensitive DT,0.7518647577203748,0.42717239377414257,0.20585048754062837,0.11575954508529651,0.9283387622149837,0.23830966401108417
SMOTE+ENN,XGBoost,0.7576168472085448,0.5482873356890806,0.36153161175422976,0.24877450980392157,0.6612377850162866,0.7516453065465881
SMOTE+ENN,AdaBoost,0.7597883998686968,0.5598096836914748,0.3419354838709677,0.22722400857449088,0.6905537459283387,0.717353654312435
SMOTE+ENN,Calibrated LR,0.6633840870641113,0.30748899174891764,0.21356553620531624,0.12426666666666666,0.758957654723127,0.4056113612746796
SMOTE+ENN,RUSBoost,0.792506249526551,0.473843199247979,0.40585009140767825,0.2820838627700127,0.7231270358306189,0.7748527883616211
SMOTE+ENN,Easy Ensemble,0.7762385425346565,0.5141676355350164,0.40585009140767825,0.2820838627700127,0.7231270358306189,0.7748527883616211
SMOTE+ENN,Balanced Bagging,0.7208689998232456,0.4291167322942959,0.3075684380032206,0.20427807486631017,0.6221498371335505,0.7021129199861448
